
 Daxpy product:
   Blaze [MFlop/s]:
     100         5542.6
     1000        6235.32
     10000       3943.87
     100000      2618.12
     1000000     3903.86
     10000000    1723.09
   N=100, steps=57928581
     Blaze       = 1        (2.0903)
   N=1000, steps=6305822
     Blaze       = 1        (2.02261)
   N=10000, steps=422942
     Blaze       = 1        (2.14481)
   N=100000, steps=25826
     Blaze       = 1        (1.97286)
   N=1000000, steps=3915
     Blaze       = 1        (2.00571)
   N=10000000, steps=175
     Blaze       = 1        (2.03123)
