
 Daxpy product:
   Blaze [MFlop/s]:
     100         5991.74
     1000        6250.29
     10000       4365.91
     100000      2726.1
     1000000     3897.7
     10000000    1910.47
   N=100, steps=55071698
     Blaze       = 1        (1.83825)
   N=1000, steps=6503864
     Blaze       = 1        (2.08114)
   N=10000, steps=376788
     Blaze       = 1        (1.72604)
   N=100000, steps=27098
     Blaze       = 1        (1.98804)
   N=1000000, steps=3920
     Blaze       = 1        (2.01144)
   N=10000000, steps=189
     Blaze       = 1        (1.97857)
