
 Daxpy product:
   Blaze [MFlop/s]:
     100         5985.32
     1000        6287.41
     10000       4317.95
     100000      2717.02
     1000000     3948.77
     10000000    1807.9
   N=100, steps=56640958
     Blaze       = 1        (1.89266)
   N=1000, steps=6310147
     Blaze       = 1        (2.00723)
   N=10000, steps=427919
     Blaze       = 1        (1.98205)
   N=100000, steps=26927
     Blaze       = 1        (1.9821)
   N=1000000, steps=3883
     Blaze       = 1        (1.96669)
   N=10000000, steps=187
     Blaze       = 1        (2.0687)
