
 Daxpy product:
   Blaze [MFlop/s]:
     100         5966.32
     1000        6278.16
     10000       4093.24
     100000      2595.02
     1000000     3919
     10000000    1900.14
   N=100, steps=60309329
     Blaze       = 1        (2.02166)
   N=1000, steps=6308305
     Blaze       = 1        (2.0096)
   N=10000, steps=439393
     Blaze       = 1        (2.14692)
   N=100000, steps=25762
     Blaze       = 1        (1.98549)
   N=1000000, steps=3858
     Blaze       = 1        (1.96887)
   N=10000000, steps=188
     Blaze       = 1        (1.9788)
