
 Dense Vector/Dense Vector Addition:
   Blaze [MFlop/s]:
     1           99.177
     2           198.708
     3           298.392
     4           377.206
     5           464.7
     6           558.136
     7           650.886
     8           744.138
     9           766.881
     10          837.753
     11          935.649
     12          1023.71
     13          1107.91
     14          1189.91
     15          1282.68
     16          1129.57
     17          1289.58
     18          1369.75
     19          1441.56
     20          1518.94
     22          1546.77
     24          1642.86
     26          1734.54
     28          1868.89
     30          1891.96
     33          1895.63
     36          2178.2
     39          2166.21
     42          2335.6
     46          2325.51
     50          2532.91
     55          2563.7
     60          2850.75
     66          2892.12
     72          2972.47
     79          3031.81
     86          3200.42
     94          3139.74
     103         3243.51
     113         3424.8
     124         3502.23
     136         3683.53
     149         3735.99
     163         4074.79
     179         3920.3
     196         4078.44
     215         3940
     236         4051.27
     259         3129.82
     284         4379.46
     312         4500.29
     343         4566.21
     377         4387.13
     414         4787.12
     455         4903.96
     500         4601.69
     550         4752.23
     605         4912.95
     665         4611.75
     731         4606.7
     804         4634.68
     884         4746.11
     972         4907.1
     1069        5250.03
     1175        5229.02
     1292        3952.91
     1421        2398.55
     1563        2033.25
     1719        1717.46
     1890        1718.49
     2079        1729.07
     2286        1690.9
     2514        1737.27
     2765        1725.93
     3041        1712
     3345        1733.56
     3679        1717.04
     4046        1721.8
     4450        1736.45
     4895        1735.76
     5384        1668.36
     5922        1731.95
     6514        1719.93
     7165        1455.06
     7881        1686.74
     8669        1612.29
     9535        1604.79
     10488       1449.17
     11536       1518.32
     12689       1532.01
     13957       1439.36
     15352       1221.31
     16887       1158.04
     18575       1117.72
     20432       1078.44
     22475       1071.12
     24722       1067.4
     27194       1063.17
     29913       1064.16
     32904       1066.61
     36194       1065.19
     39813       749.035
     43794       775.086
     48173       838.769
     52990       879.964
     58289       937.06
     64117       990.255
     70528       1054.81
     77580       1108.76
     85338       1203.57
     93871       1321.06
     103258      1407.21
     113583      1527.64
     124941      1670.4
     137435      1792.17
     151178      1921.9
     166295      2091.02
     182924      2198.54
     201216      2316.03
     221337      2544.61
     243470      2627.16
     267817      2797.23
     294598      2942.1
     324057      3106.32
     356462      3248.51
     392108      3374.31
     431318      3554.83
     474449      3673.46
     521893      3809.69
     574082      3870.22
     631490      3941.81
     694639      3739.47
     764102      3498.27
     840512      2925.95
     924563      1225.91
     1017019     951.536
     1118720     1284.57
     1230592     1121.22
     1353651     713.978
     1489016     857.776
     1637917     594.775
     1801708     562.279
     1981878     667.767
     2180065     468.24
     2398071     463.305
     2637878     488.905
     2901665     449.252
     3191831     494.371
     3511014     420.305
     3862115     498.661
     4248326     487.729
     4673158     426.871
     5140474     415.445
     5654521     415.129
     6219973     414.757
     6841970     414.686
     7526167     414.711
     8278784     414.745
     9106663     414.878
     10000000    414.984
   N=1, steps=199341919
     Blaze       = 1        (2.00996)
   N=2, steps=137651345
     Blaze       = 1        (1.38546)
   N=3, steps=199407163
     Blaze       = 1        (2.00482)
   N=4, steps=197153989
     Blaze       = 1        (2.09068)
   N=5, steps=174455128
     Blaze       = 1        (1.87707)
   N=6, steps=186461726
     Blaze       = 1        (2.00448)
   N=7, steps=183906265
     Blaze       = 1        (1.97783)
   N=8, steps=186528574
     Blaze       = 1        (2.00531)
   N=9, steps=170711841
     Blaze       = 1        (2.00345)
   N=10, steps=168708011
     Blaze       = 1        (2.01381)
   N=11, steps=169746381
     Blaze       = 1        (1.99563)
   N=12, steps=171233591
     Blaze       = 1        (2.00722)
   N=13, steps=163137394
     Blaze       = 1        (1.91422)
   N=14, steps=169867055
     Blaze       = 1        (1.99859)
   N=15, steps=167205242
     Blaze       = 1        (1.95535)
   N=16, steps=168810000
     Blaze       = 1        (2.39115)
   N=17, steps=147958919
     Blaze       = 1        (1.95047)
   N=18, steps=148084243
     Blaze       = 1        (1.94599)
   N=19, steps=146534236
     Blaze       = 1        (1.93135)
   N=20, steps=148056981
     Blaze       = 1        (1.94948)
   N=22, steps=140426864
     Blaze       = 1        (1.99731)
   N=24, steps=142793283
     Blaze       = 1        (2.08602)
   N=26, steps=130133555
     Blaze       = 1        (1.95065)
   N=28, steps=129809357
     Blaze       = 1        (1.94483)
   N=30, steps=123413124
     Blaze       = 1        (1.95691)
   N=33, steps=121336194
     Blaze       = 1        (2.11228)
   N=36, steps=119891579
     Blaze       = 1        (1.98149)
   N=39, steps=103005758
     Blaze       = 1        (1.85449)
   N=42, steps=108902971
     Blaze       = 1        (1.95835)
   N=46, steps=98422022
     Blaze       = 1        (1.94685)
   N=50, steps=100081770
     Blaze       = 1        (1.97563)
   N=55, steps=83553583
     Blaze       = 1        (1.79251)
   N=60, steps=94270451
     Blaze       = 1        (1.98412)
   N=66, steps=86622504
     Blaze       = 1        (1.97678)
   N=72, steps=81047385
     Blaze       = 1        (1.96315)
   N=79, steps=74346662
     Blaze       = 1        (1.93725)
   N=86, steps=67988336
     Blaze       = 1        (1.82694)
   N=94, steps=67716427
     Blaze       = 1        (2.02735)
   N=103, steps=62303715
     Blaze       = 1        (1.9785)
   N=113, steps=60300905
     Blaze       = 1        (1.9896)
   N=124, steps=56663489
     Blaze       = 1        (2.00623)
   N=136, steps=51790162
     Blaze       = 1        (1.91215)
   N=149, steps=50267015
     Blaze       = 1        (2.00477)
   N=163, steps=45056787
     Blaze       = 1        (1.80236)
   N=179, steps=42575268
     Blaze       = 1        (1.94398)
   N=196, steps=40052742
     Blaze       = 1        (1.92484)
   N=215, steps=33145274
     Blaze       = 1        (1.80869)
   N=236, steps=34921413
     Blaze       = 1        (2.03429)
   N=259, steps=32356093
