run # 1

hxp::seq: 1.2568e+07 microsec. 

hpx::par: 1.35846e+06 microsec. 

hpx::par_unseq: 1.36164e+06 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.27952e+07 microsec. 

std::par: 1.3563e+06 microsec. 

std::par_unseq: 1.36019e+06 microsec. 

run # 2

hxp::seq: 1.25265e+07 microsec. 

hpx::par: 1.35706e+06 microsec. 

hpx::par_unseq: 1.35847e+06 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.28103e+07 microsec. 

std::par: 1.35631e+06 microsec. 

std::par_unseq: 1.3578e+06 microsec. 

run # 3

hxp::seq: 1.25574e+07 microsec. 

hpx::par: 1.35803e+06 microsec. 

hpx::par_unseq: 1.36259e+06 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.27791e+07 microsec. 

std::par: 1.35471e+06 microsec. 

std::par_unseq: 1.35787e+06 microsec. 

run # 4

hxp::seq: 1.25645e+07 microsec. 

hpx::par: 1.35663e+06 microsec. 

hpx::par_unseq: 1.35569e+06 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.27102e+07 microsec. 

std::par: 1.35683e+06 microsec. 

std::par_unseq: 1.35774e+06 microsec. 

run # 5

hxp::seq: 1.25446e+07 microsec. 

hpx::par: 1.36355e+06 microsec. 

hpx::par_unseq: 1.36851e+06 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.26726e+07 microsec. 

std::par: 1.36122e+06 microsec. 

std::par_unseq: 1.35982e+06 microsec. 

run # 6

hxp::seq: 1.25199e+07 microsec. 

hpx::par: 1.35476e+06 microsec. 

hpx::par_unseq: 1.3594e+06 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.27697e+07 microsec. 

std::par: 1.35755e+06 microsec. 

std::par_unseq: 1.36119e+06 microsec. 

