run # 1

hxp::seq: 1.32301e+07 microsec. 

hpx::par: 505734 microsec. 

hpx::par_unseq: 498134 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.33345e+07 microsec. 

std::par: 582643 microsec. 

std::par_unseq: 506475 microsec. 

run # 2

hxp::seq: 1.31681e+07 microsec. 

hpx::par: 506900 microsec. 

hpx::par_unseq: 502999 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.32922e+07 microsec. 

std::par: 497382 microsec. 

std::par_unseq: 498318 microsec. 

run # 3

hxp::seq: 1.32619e+07 microsec. 

hpx::par: 500338 microsec. 

hpx::par_unseq: 498766 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.3405e+07 microsec. 

std::par: 582478 microsec. 

std::par_unseq: 525115 microsec. 

run # 4

hxp::seq: 1.35145e+07 microsec. 

hpx::par: 581695 microsec. 

hpx::par_unseq: 497200 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.33507e+07 microsec. 

std::par: 497783 microsec. 

std::par_unseq: 581383 microsec. 

run # 5

hxp::seq: 1.35819e+07 microsec. 

hpx::par: 496987 microsec. 

hpx::par_unseq: 584304 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.38336e+07 microsec. 

std::par: 504184 microsec. 

std::par_unseq: 523463 microsec. 

run # 6

hxp::seq: 1.31422e+07 microsec. 

hpx::par: 506044 microsec. 

hpx::par_unseq: 503055 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.33676e+07 microsec. 

std::par: 497953 microsec. 

std::par_unseq: 498061 microsec. 

