run # 1

hxp::seq: 1.30844e+07 microsec. 

hpx::par: 934617 microsec. 

hpx::par_unseq: 936874 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.34924e+07 microsec. 

std::par: 936249 microsec. 

std::par_unseq: 938328 microsec. 

run # 2

hxp::seq: 1.30421e+07 microsec. 

hpx::par: 937180 microsec. 

hpx::par_unseq: 937401 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.33917e+07 microsec. 

std::par: 933678 microsec. 

std::par_unseq: 934950 microsec. 

run # 3

hxp::seq: 1.30918e+07 microsec. 

hpx::par: 937894 microsec. 

hpx::par_unseq: 948045 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.34317e+07 microsec. 

std::par: 932527 microsec. 

std::par_unseq: 938383 microsec. 

run # 4

hxp::seq: 1.29337e+07 microsec. 

hpx::par: 936273 microsec. 

hpx::par_unseq: 942536 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.33765e+07 microsec. 

std::par: 930978 microsec. 

std::par_unseq: 934486 microsec. 

run # 5

hxp::seq: 1.30641e+07 microsec. 

hpx::par: 932787 microsec. 

hpx::par_unseq: 934274 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.33328e+07 microsec. 

std::par: 933780 microsec. 

std::par_unseq: 933047 microsec. 

run # 6

hxp::seq: 1.30077e+07 microsec. 

hpx::par: 931927 microsec. 

hpx::par_unseq: 937676 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.33527e+07 microsec. 

std::par: 942975 microsec. 

std::par_unseq: 943363 microsec. 

