run # 1

hxp::seq: 1.36697e+07 microsec. 

hpx::par: 790536 microsec. 

hpx::par_unseq: 647009 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.39225e+07 microsec. 

std::par: 1.05702e+06 microsec. 

std::par_unseq: 1.04146e+06 microsec. 

run # 2

hxp::seq: 1.39039e+07 microsec. 

hpx::par: 889325 microsec. 

hpx::par_unseq: 636471 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.415e+07 microsec. 

std::par: 793442 microsec. 

std::par_unseq: 508595 microsec. 

run # 3

hxp::seq: 1.35148e+07 microsec. 

hpx::par: 766807 microsec. 

hpx::par_unseq: 625995 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.39112e+07 microsec. 

std::par: 891444 microsec. 

std::par_unseq: 1.07239e+06 microsec. 

run # 4

hxp::seq: 1.36295e+07 microsec. 

hpx::par: 761395 microsec. 

hpx::par_unseq: 1.05814e+06 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.37472e+07 microsec. 

std::par: 952265 microsec. 

std::par_unseq: 733667 microsec. 

run # 5

hxp::seq: 1.39588e+07 microsec. 

hpx::par: 782712 microsec. 

hpx::par_unseq: 592257 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.39753e+07 microsec. 

std::par: 1.15773e+06 microsec. 

std::par_unseq: 704542 microsec. 

run # 6

hxp::seq: 1.36101e+07 microsec. 

hpx::par: 754248 microsec. 

hpx::par_unseq: 1.06474e+06 microsec. 

////////////////////////////////////////////////////////
std::seq: 1.39615e+07 microsec. 

std::par: 1.05657e+06 microsec. 

std::par_unseq: 1.03323e+06 microsec. 

