
 Daxpy product:
   Blaze [MFlop/s]:
     100         7144.51
     1000        9087.29
     10000       4097
     100000      7606.03
     1000000     8321.72
     10000000    2523.56
   N=100, steps=72645977
     Blaze       = 1        (2.03362)
   N=1000, steps=8968860
     Blaze       = 1        (1.97394)
   N=10000, steps=406336
     Blaze       = 1        (1.98358)
   N=100000, steps=76532
     Blaze       = 1        (2.0124)
   N=1000000, steps=7805
     Blaze       = 1        (1.87582)
   N=10000000, steps=245
     Blaze       = 1        (1.9417)
