
 Daxpy product:
   Blaze [MFlop/s]:
     100         7151.44
     1000        9455.43
     10000       4095.43
     100000      7509.28
     1000000     8417.4
     10000000    2427.76
   N=100, steps=70190810
     Blaze       = 1        (1.96298)
   N=1000, steps=8986728
     Blaze       = 1        (1.90086)
   N=10000, steps=408171
     Blaze       = 1        (1.9933)
   N=100000, steps=77246
     Blaze       = 1        (2.05735)
   N=1000000, steps=8185
     Blaze       = 1        (1.94478)
   N=10000000, steps=231
     Blaze       = 1        (1.90299)
