
 Daxpy product:
   Blaze [MFlop/s]:
     100         7152.3
     1000        8897.77
     10000       4110.91
     100000      8593.59
     1000000     10233.9
     10000000    2434.48
   N=100, steps=72280639
     Blaze       = 1        (2.02119)
   N=1000, steps=8981112
     Blaze       = 1        (2.01873)
   N=10000, steps=391076
     Blaze       = 1        (1.90262)
   N=100000, steps=75868
     Blaze       = 1        (1.76569)
   N=1000000, steps=8590
     Blaze       = 1        (1.67874)
   N=10000000, steps=282
     Blaze       = 1        (2.31672)
